Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,Students,Students Disciplined,% In-School Suspension,% Out-of-School Suspension,% Expulsion,% Removed to Alternate Setting,% Emergency Removal,% Students with a School-Based Arrest,% Students with a Law Enforcement Referral
5.419354838709677,5,a-phys-i1,2021-22,Boston - Boston Latin Academy,00350545,"   1,694",      84,   1.9,   3.4,   0.0,   0.0,   1.3,   0.0,   0.0
7.468690702087287,5,a-phys-i1,2021-22,Boston - Boston Latin School,00350560,"   2,419",      21,   0.2,   0.7,   0.0,   0.0,   0.0,   0.0,   0.0
6.861480075901328,5,a-phys-i1,2021-22,Boston - Boston Teachers Union K-8 Pilot,00350012,     325,       6,   1.2,   1.5,   0.0,   0.0,   0.0,   0.0,   0.0
NA,NA,a-phys-i1,2021-22,Boston - Bradley Elementary School,00350215,     312,       2,"","","","","","",""
-0.5009487666034157,1,a-phys-i1,2021-22,Boston - Brighton High School,00350505,     518,      60,   0.4,  11.2,   0.0,   0.0,   0.4,   0.0,   0.0
5.798861480075901,5,a-phys-i1,2021-22,Boston - Burke High School,00350525,     411,      12,   0.0,   2.9,   0.0,   0.0,   0.0,   0.0,   0.0
NA,NA,a-phys-i1,2021-22,Boston - Carter School,00350036,      28,       0,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Boston - Channing Elementary School,00350360,     233,       0,"","","","","","",""
5.722960151802656,5,a-phys-i1,2021-22,Boston - Charlestown High School,00350515,     946,      34,   0.2,   3.0,   0.0,   0.0,   0.4,   0.3,   0.0
NA,NA,a-phys-i1,2021-22,Boston - Chittick Elementary School,00350154,     246,       0,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Boston - Clap Elementary School,00350298,     140,       2,"","","","","","",""
-13.176470588235295,1,a-phys-i1,2021-22,Boston - Community Academy,00350518,      86,      24,   4.7,  27.9,   0.0,   0.0,   0.0,   0.0,   0.0
0.2580645161290322,1,a-phys-i1,2021-22,Boston - Community Academy of Science and Health,00350581,     393,      40,   0.0,  10.2,   0.0,   0.0,   0.0,   0.3,   0.0
6.937381404174572,5,a-phys-i1,2021-22,Boston - Condon K-8 School,00350146,     759,      12,   0.1,   1.4,   0.0,   0.0,   0.0,   0.0,   0.0
